Trip ID,Pickup Date,Vehicle,Payment_type,Sumpass,Sum trip,book value,Location,total Bookings,pick hour
58,2024-06-01 00:00:00,UberX,Uber Pay,4,3.27,$15.2,Lower East Side,1.0,1
64,2024-06-01 00:00:00,Uber Black,Uber Pay,2,2.48,$14.1,Union Sq,1.0,2
66,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.05,$13.0,Greenwich Village North,1.0,2
70,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,6.04,$22.0,Downtown Brooklyn/MetroTech,1.0,2
73,2024-06-01 00:00:00,UberX,Uber Pay,2,2.3,$10.5,Yorkville West,1.0,2
75,2024-06-01 00:00:00,UberX,Uber Pay,1,9.4,$27.0,East Harlem North,1.0,3
78,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,15.87,$43.0,Upper West Side North,1.0,3
80,2024-06-01 00:00:00,Uber Green,Uber Pay,2,3.54,$15.2,Yorkville East,1.0,3
81,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.8,$8.5,Clinton East,1.0,3
88,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.61,$13.5,Chinatown,1.0,4
91,2024-06-01 00:00:00,UberX,Uber Pay,1,4.2,$15.0,Upper West Side North,1.0,4
95,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,8.8,$25.5,Briarwood/Jamaica Hills,1.0,3
96,2024-06-01 00:00:00,UberX,Uber Pay,1,10.83,$31.0,Kips Bay,1.0,4
98,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.1,$6.9,Upper West Side North,1.0,5
100,2024-06-01 00:00:00,UberX,Uber Pay,1,2.52,$13.4,Midtown South,1.0,5
101,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.8,$11.0,Penn Station/Madison Sq West,1.0,5
102,2024-06-01 00:00:00,UberX,Uber Pay,2,1.65,$9.8,Penn Station/Madison Sq West,1.0,5
104,2024-06-01 00:00:00,Uber Black,Uber Pay,3,1.15,$7.8,Penn Station/Madison Sq West,1.0,5
107,2024-06-01 00:00:00,UberX,Uber Pay,1,1.62,$9.2,Lincoln Square East,1.0,5
109,2024-06-01 00:00:00,Uber Green,Uber Pay,1,4.7,$20.5,Upper West Side North,1.0,5
112,2024-06-01 00:00:00,UberX,Uber Pay,1,7.1,$23.5,East Chelsea,1.0,5
116,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.56,$8.6,Lenox Hill East,1.0,5
118,2024-06-01 00:00:00,UberX,Uber Pay,1,3.3,$15.5,Garment District,1.0,5
119,2024-06-01 00:00:00,UberX,Uber Pay,2,4.89,$16.0,East Harlem South,1.0,5
120,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.2,$12.0,Penn Station/Madison Sq West,1.0,5
127,2024-06-01 00:00:00,UberX,Uber Pay,1,2.28,$11.6,Lincoln Square West,1.0,5
128,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.7,$7.5,Garment District,1.0,5
129,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.24,$13.6,Lincoln Square West,1.0,5
130,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.7,$11.5,East Harlem South,1.0,5
131,2024-06-01 00:00:00,UberX,Uber Pay,1,17.73,$56.7,JFK Airport,1.0,5
133,2024-06-01 00:00:00,UberXL,Uber Pay,1,10.48,$36.3,JFK Airport,1.0,5
134,2024-06-01 00:00:00,UberX,Uber Pay,1,2.7,$12.6,Upper West Side North,1.0,6
137,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.7,$9.0,Yorkville West,1.0,6
139,2024-06-01 00:00:00,UberX,Uber Pay,1,1.9,$10.9,Penn Station/Madison Sq West,1.0,6
140,2024-06-01 00:00:00,UberX,Uber Pay,1,2.27,$11.5,Central Park,1.0,7
145,2024-06-01 00:00:00,UberX,Uber Pay,1,1.32,$6.5,East Harlem South,1.0,6
146,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.5,$16.9,TriBeCa/Civic Center,1.0,6
149,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.4,$9.0,Penn Station/Madison Sq West,1.0,5
150,2024-06-01 00:00:00,UberX,Uber Pay,1,2.47,$12.7,Flatiron,1.0,6
151,2024-06-01 00:00:00,Uber Green,Uber Pay,1,18.93,$66.1,Lincoln Square West,1.0,6
153,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.6,$10.0,Lenox Hill East,1.0,6
154,2024-06-01 00:00:00,UberXL,Uber Pay,2,1.52,$9.4,Midtown East,1.0,6
155,2024-06-01 00:00:00,Uber Green,Uber Pay,4,1.67,$9.7,Lenox Hill East,1.0,6
156,2024-06-01 00:00:00,UberX,Uber Pay,1,4.51,$17.5,Yorkville East,1.0,6
157,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.44,$17.1,Upper West Side North,1.0,6
160,2024-06-01 00:00:00,UberX,Uber Pay,1,3.41,$15.7,Upper East Side North,1.0,6
161,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.7,$10.3,Lower East Side,1.0,6
163,2024-06-01 00:00:00,UberX,Uber Pay,1,1.11,$6.7,East Village,1.0,6
165,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.83,$9.1,UN/Turtle Bay South,1.0,6
166,2024-06-01 00:00:00,UberX,Uber Pay,1,1.93,$10.3,Penn Station/Madison Sq West,1.0,6
168,2024-06-01 00:00:00,UberX,Uber Pay,2,1.01,$6.7,Murray Hill,1.0,6
169,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.4,$12.0,Yorkville East,1.0,6
171,2024-06-01 00:00:00,UberX,Uber Pay,1,2.9,$16.3,Central Park,1.0,6
172,2024-06-01 00:00:00,UberX,Uber Pay,1,5.28,$22.5,Upper West Side North,1.0,6
173,2024-06-01 00:00:00,UberX,Uber Pay,1,11.68,$40.4,JFK Airport,1.0,6
174,2024-06-01 00:00:00,UberX,Uber Pay,1,3.3,$13.0,Morningside Heights,1.0,6
175,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.9,$12.5,Midtown East,1.0,6
176,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.4,$8.0,Clinton East,1.0,6
177,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.32,$15.8,Midtown Center,1.0,6
179,2024-06-01 00:00:00,Uber Black,Uber Pay,3,3.42,$16.9,Lincoln Square East,1.0,6
182,2024-06-01 00:00:00,UberX,Uber Pay,1,1.84,$9.7,Lenox Hill East,1.0,6
186,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.51,$15.7,Upper East Side North,1.0,6
189,2024-06-01 00:00:00,UberX,Uber Pay,1,1.54,$9.5,Midtown East,1.0,6
191,2024-06-01 00:00:00,UberX,Uber Pay,1,2.6,$11.5,Upper East Side North,1.0,6
194,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.47,$7.9,Upper West Side South,1.0,6
195,2024-06-01 00:00:00,UberX,Uber Pay,1,2,$10.3,NV,1.0,6
196,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3,$15.1,Sutton Place/Turtle Bay North,1.0,6
197,2024-06-01 00:00:00,UberX,Uber Pay,1,2.7,$10.5,Times Sq/Theatre District,1.0,6
200,2024-06-01 00:00:00,UberX,Uber Pay,2,1.2,$7.7,Gramercy,1.0,6
201,2024-06-01 00:00:00,UberX,Uber Pay,1,2.8,$12.5,East Chelsea,1.0,6
202,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.5,$12.7,Lenox Hill West,1.0,6
204,2024-06-01 00:00:00,UberX,Uber Pay,1,2.92,$13.5,Flatiron,1.0,6
206,2024-06-01 00:00:00,UberX,Uber Pay,1,1.39,$9.5,Penn Station/Madison Sq West,1.0,6
207,2024-06-01 00:00:00,UberX,Uber Pay,1,1.4,$10.2,Clinton East,1.0,6
208,2024-06-01 00:00:00,UberX,Uber Pay,1,2.03,$16.0,UN/Turtle Bay South,1.0,6
209,2024-06-01 00:00:00,UberX,Uber Pay,1,1.7,$9.1,Clinton East,1.0,6
210,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.43,$10.9,Gramercy,1.0,6
211,2024-06-01 00:00:00,UberX,Uber Pay,1,1.34,$10.1,Penn Station/Madison Sq West,1.0,6
214,2024-06-01 00:00:00,UberX,Uber Pay,2,1.41,$14.5,Penn Station/Madison Sq West,1.0,6
216,2024-06-01 00:00:00,UberX,Uber Pay,1,1.8,$11.4,Murray Hill,1.0,6
218,2024-06-01 00:00:00,Uber Black,Uber Pay,1,5.66,$27.0,Clinton East,1.0,6
222,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.4,$14.0,Midtown East,1.0,6
223,2024-06-01 00:00:00,UberXL,Uber Pay,1,4.56,$22.3,Garment District,1.0,6
224,2024-06-01 00:00:00,UberX,Uber Pay,1,1.52,$9.7,Lenox Hill East,1.0,6
225,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.64,$9.0,Lincoln Square East,1.0,6
229,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.32,$8.7,Midtown East,1.0,6
230,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.1,$7.1,Yorkville East,1.0,6
231,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.64,$15.7,Penn Station/Madison Sq West,1.0,6
234,2024-06-01 00:00:00,Uber Black,Uber Pay,1,4.19,$19.9,Central Harlem,1.0,6
235,2024-06-01 00:00:00,UberX,Uber Pay,1,7.48,$27.5,Sutton Place/Turtle Bay North,1.0,6
238,2024-06-01 00:00:00,UberX,Uber Pay,3,3.27,$15.1,Penn Station/Madison Sq West,1.0,6
244,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.38,$9.0,Murray Hill,1.0,7
245,2024-06-01 00:00:00,UberX,Uber Pay,1,1.6,$9.1,Penn Station/Madison Sq West,1.0,7
246,2024-06-01 00:00:00,UberX,Uber Pay,1,8.2,$30.7,Upper West Side South,1.0,7
247,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.28,$7.9,Sutton Place/Turtle Bay North,1.0,7
249,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,4.5,$18.1,East Harlem South,1.0,7
250,2024-06-01 00:00:00,UberX,Uber Pay,1,4.23,$19.2,Yorkville West,1.0,7
251,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.71,$9.7,Penn Station/Madison Sq West,1.0,7
253,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.02,$8.8,Yorkville East,1.0,7
255,2024-06-01 00:00:00,UberX,Uber Pay,1,1.09,$7.9,Midtown East,1.0,7
257,2024-06-01 00:00:00,UberX,Uber Pay,1,1.46,$6.0,Kips Bay,1.0,7
259,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.3,$7.0,Upper East Side South,1.0,7
261,2024-06-01 00:00:00,UberX,Uber Pay,1,2.9,$19.8,Lenox Hill East,1.0,7
262,2024-06-01 00:00:00,UberXL,Uber Pay,1,2,$10.4,Upper East Side North,1.0,7
263,2024-06-01 00:00:00,UberX,Uber Pay,1,3.4,$15.2,Yorkville East,1.0,7
264,2024-06-01 00:00:00,UberXL,Uber Pay,3,3.59,$16.5,Gramercy,1.0,7
265,2024-06-01 00:00:00,UberX,Uber Pay,1,2.88,$13.3,Lincoln Square West,1.0,7
266,2024-06-01 00:00:00,UberX,Uber Pay,2,7.96,$28.5,Lenox Hill East,1.0,7
267,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.3,$10.0,SoHo,1.0,7
268,2024-06-01 00:00:00,UberX,Uber Pay,1,2.44,$14.5,Times Sq/Theatre District,1.0,7
269,2024-06-01 00:00:00,Uber Black,Uber Pay,2,3.52,$16.5,Yorkville East,1.0,7
270,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.4,$7.3,East Village,1.0,7
271,2024-06-01 00:00:00,UberX,Uber Pay,1,1.78,$9.8,East Harlem North,1.0,7
272,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.77,$17.0,Astoria,1.0,7
273,2024-06-01 00:00:00,Uber Comfort,Uber Pay,4,2.46,$14.5,Upper West Side South,1.0,7
274,2024-06-01 00:00:00,UberXL,Uber Pay,1,2.4,$12.7,Lenox Hill East,1.0,7
275,2024-06-01 00:00:00,UberX,Uber Pay,1,2.7,$10.5,Stuy Town/Peter Cooper Village,1.0,7
277,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,3.05,$17.1,Lenox Hill East,1.0,7
278,2024-06-01 00:00:00,UberX,Uber Pay,1,1.24,$7.3,East Village,1.0,7
280,2024-06-01 00:00:00,UberX,Uber Pay,2,1.08,$8.5,Union Sq,1.0,7
283,2024-06-01 00:00:00,UberXL,Uber Pay,1,2,$10.3,Lenox Hill West,1.0,7
284,2024-06-01 00:00:00,UberX,Uber Pay,1,1.3,$9.1,Lincoln Square East,1.0,7
286,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.6,$9.6,Penn Station/Madison Sq West,1.0,7
288,2024-06-01 00:00:00,UberX,Uber Pay,1,1.66,$8.6,Penn Station/Madison Sq West,1.0,7
291,2024-06-01 00:00:00,UberX,Uber Pay,1,1.22,$7.5,Yorkville West,1.0,7
293,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.26,$7.0,East Harlem South,1.0,7
294,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,4.08,$16.9,Penn Station/Madison Sq West,1.0,7
296,2024-06-01 00:00:00,UberX,Uber Pay,1,1.6,$8.5,Garment District,1.0,7
297,2024-06-01 00:00:00,UberX,Uber Pay,2,1.46,$7.0,Penn Station/Madison Sq West,1.0,7
298,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,1.17,$7.9,Garment District,1.0,7
301,2024-06-01 00:00:00,UberX,Uber Pay,1,1.51,$7.5,Penn Station/Madison Sq West,1.0,7
302,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.8,$10.9,Lenox Hill East,1.0,7
303,2024-06-01 00:00:00,UberX,Uber Pay,1,2.18,$10.9,Midtown East,1.0,7
304,2024-06-01 00:00:00,UberX,Uber Pay,3,3.27,$17.0,Sunnyside,1.0,7
305,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.2,$16.3,Penn Station/Madison Sq West,1.0,7
306,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.12,$12.1,Clinton East,1.0,7
307,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.9,$15.7,Murray Hill,1.0,7
308,2024-06-01 00:00:00,UberX,Uber Pay,1,2.13,$11.5,Yorkville West,1.0,7
309,2024-06-01 00:00:00,UberX,Uber Pay,1,1.11,$8.5,Sutton Place/Turtle Bay North,1.0,7
310,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.5,$10.3,Garment District,1.0,7
311,2024-06-01 00:00:00,Uber Black,Uber Pay,3,1.13,$8.5,Yorkville East,1.0,7
312,2024-06-01 00:00:00,UberXL,Uber Pay,1,5.35,$24.0,Midtown East,1.0,7
314,2024-06-01 00:00:00,UberX,Uber Pay,1,10.1,$35.6,NV,1.0,7
317,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.27,$14.0,Penn Station/Madison Sq West,1.0,7
318,2024-06-01 00:00:00,UberX,Uber Pay,2,5.78,$20.7,Central Park,1.0,7
319,2024-06-01 00:00:00,UberX,Uber Pay,1,1.41,$8.3,Gramercy,1.0,7
320,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.14,$15.9,East Harlem South,1.0,7
321,2024-06-01 00:00:00,Uber Black,Uber Pay,2,2.89,$12.0,East Harlem South,1.0,7
322,2024-06-01 00:00:00,UberX,Uber Pay,1,5.52,$18.5,Upper West Side North,1.0,7
326,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.11,$10.3,Gramercy,1.0,7
327,2024-06-01 00:00:00,UberX,Uber Pay,1,2.36,$12.7,Kips Bay,1.0,7
328,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.37,$18.3,Yorkville West,1.0,7
329,2024-06-01 00:00:00,UberXL,Uber Pay,6,3.22,$13.5,Hamilton Heights,1.0,7
330,2024-06-01 00:00:00,UberX,Uber Pay,1,1.78,$9.4,Lenox Hill West,1.0,7
332,2024-06-01 00:00:00,UberX,Uber Pay,1,1.69,$9.7,Clinton East,1.0,7
336,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.56,$15.7,Flatiron,1.0,7
337,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.47,$22.0,East Harlem South,1.0,7
338,2024-06-01 00:00:00,UberXL,Uber Pay,1,2.02,$10.9,Sutton Place/Turtle Bay North,1.0,7
339,2024-06-01 00:00:00,UberX,Uber Pay,1,1.37,$8.8,Lincoln Square West,1.0,7
340,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.7,$12.1,Yorkville West,1.0,7
341,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.02,$8.3,Midtown Center,1.0,7
342,2024-06-01 00:00:00,Uber Black,Uber Pay,1,4.96,$19.5,Sunnyside,1.0,7
343,2024-06-01 00:00:00,UberX,Uber Pay,1,3.4,$15.1,Gramercy,1.0,7
345,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.71,$13.3,Upper East Side North,1.0,7
347,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.39,$8.5,Sutton Place/Turtle Bay North,1.0,7
348,2024-06-01 00:00:00,UberX,Uber Pay,1,2.48,$13.4,East Harlem North,1.0,7
349,2024-06-01 00:00:00,UberX,Uber Pay,1,1.04,$7.9,Yorkville East,1.0,7
350,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.93,$9.3,Yorkville West,1.0,7
351,2024-06-01 00:00:00,UberX,Uber Pay,6,2.55,$14.3,Lenox Hill West,1.0,7
352,2024-06-01 00:00:00,UberX,Uber Pay,1,1.4,$9.1,Greenwich Village North,1.0,7
356,2024-06-01 00:00:00,UberX,Uber Pay,1,1.96,$9.7,Lincoln Square West,1.0,7
357,2024-06-01 00:00:00,UberX,Uber Pay,1,3.49,$16.5,Penn Station/Madison Sq West,1.0,7
358,2024-06-01 00:00:00,UberX,Uber Pay,1,1.54,$7.5,Central Park,1.0,6
359,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.29,$10.7,Murray Hill,1.0,7
361,2024-06-01 00:00:00,UberX,Uber Pay,1,2.73,$11.0,Lincoln Square East,1.0,7
362,2024-06-01 00:00:00,UberX,Uber Pay,1,1.61,$9.5,Midtown North,1.0,7
363,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.63,$15.1,Gramercy,1.0,7
364,2024-06-01 00:00:00,UberXL,Uber Pay,1,4.43,$19.9,Garment District,1.0,7
365,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.48,$14.0,Upper West Side South,1.0,7
367,2024-06-01 00:00:00,UberXL,Uber Pay,1,2.2,$13.3,Midtown East,1.0,7
369,2024-06-01 00:00:00,UberX,Uber Pay,1,1.8,$10.3,Central Park,1.0,7
370,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,4.2,$17.5,East Harlem South,1.0,7
371,2024-06-01 00:00:00,UberX,Uber Pay,1,25.81,$71.8,Hammels/Arverne,1.0,7
373,2024-06-01 00:00:00,UberXL,Uber Pay,1,7.97,$39.1,West Village,1.0,7
375,2024-06-01 00:00:00,UberX,Uber Pay,1,2.89,$17.7,Penn Station/Madison Sq West,1.0,7
376,2024-06-01 00:00:00,UberX,Uber Pay,1,6.12,$25.3,East Harlem South,1.0,7
377,2024-06-01 00:00:00,UberX,Uber Pay,1,1.03,$6.7,Gramercy,1.0,7
378,2024-06-01 00:00:00,UberX,Uber Pay,1,3.85,$18.5,Manhattan Valley,1.0,7
382,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.17,$16.5,Garment District,1.0,7
383,2024-06-01 00:00:00,UberX,Uber Pay,3,2.72,$14.6,Kips Bay,1.0,7
384,2024-06-01 00:00:00,UberX,Uber Pay,1,1.1,$8.0,Yorkville West,1.0,8
387,2024-06-01 00:00:00,UberX,Uber Pay,1,6,$25.3,Upper East Side South,1.0,8
389,2024-06-01 00:00:00,UberXL,Uber Pay,2,2.77,$17.4,Upper West Side North,1.0,8
390,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.9,$11.7,Yorkville East,1.0,8
391,2024-06-01 00:00:00,UberX,Uber Pay,1,2.1,$11.5,Upper West Side South,1.0,8
392,2024-06-01 00:00:00,UberX,Uber Pay,1,1.63,$9.6,Sutton Place/Turtle Bay North,1.0,8
393,2024-06-01 00:00:00,UberX,Uber Pay,1,6.2,$20.0,Seaport,1.0,8
394,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.5,$9.0,West Village,1.0,8
395,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.8,$12.6,Upper West Side North,1.0,8
396,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.01,$18.0,Lenox Hill West,1.0,8
398,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.26,$7.4,Yorkville West,1.0,8
399,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2,$10.3,Stuy Town/Peter Cooper Village,1.0,8
403,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.85,$25.5,Carroll Gardens,1.0,8
405,2024-06-01 00:00:00,UberX,Uber Pay,1,1.5,$9.7,Sutton Place/Turtle Bay North,1.0,8
410,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.14,$7.5,Midtown Center,1.0,8
411,2024-06-01 00:00:00,UberX,Uber Pay,1,3.23,$15.7,Yorkville West,1.0,8
413,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.9,$20.2,Garment District,1.0,8
416,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.9,$13.5,Yorkville East,1.0,8
417,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.2,$12.1,Lenox Hill West,1.0,7
418,2024-06-01 00:00:00,UberX,Uber Pay,1,4.58,$21.1,East Village,1.0,8
419,2024-06-01 00:00:00,UberX,Uber Pay,1,1.06,$7.5,Midtown North,1.0,8
420,2024-06-01 00:00:00,UberX,Uber Pay,1,1.31,$9.1,Clinton East,1.0,8
421,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.57,$13.9,Midtown North,1.0,7
422,2024-06-01 00:00:00,UberX,Uber Pay,1,2.9,$12.5,Upper East Side North,1.0,8
424,2024-06-01 00:00:00,UberX,Uber Pay,1,2.62,$13.3,NV,1.0,8
425,2024-06-01 00:00:00,UberX,Uber Pay,1,1.9,$11.0,Penn Station/Madison Sq West,1.0,8
426,2024-06-01 00:00:00,UberX,Uber Pay,2,2.28,$23.3,Upper West Side South,1.0,8
427,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.58,$12.0,Union Sq,1.0,8
428,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,9.89,$35.5,Kips Bay,1.0,8
429,2024-06-01 00:00:00,UberX,Uber Pay,1,2.4,$13.3,Clinton East,1.0,8
430,2024-06-01 00:00:00,UberX,Uber Pay,1,1.5,$9.1,Lenox Hill West,1.0,8
431,2024-06-01 00:00:00,UberX,Uber Pay,1,2.59,$12.1,Midtown North,1.0,8
433,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.4,$11.5,Manhattan Valley,1.0,8
434,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.13,$9.7,Clinton East,1.0,8
435,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.5,$10.0,Clinton West,1.0,8
438,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,5.3,$20.5,Upper West Side South,1.0,8
439,2024-06-01 00:00:00,UberX,Uber Pay,1,2.84,$15.2,Lenox Hill East,1.0,8
441,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.4,$19.8,Kips Bay,1.0,8
443,2024-06-01 00:00:00,UberX,Uber Pay,3,2.31,$13.3,Lenox Hill East,1.0,8
445,2024-06-01 00:00:00,UberX,Uber Pay,1,1.3,$7.7,Gramercy,1.0,8
448,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.03,$7.9,Upper East Side South,1.0,8
449,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,1.15,$10.5,Penn Station/Madison Sq West,1.0,8
450,2024-06-01 00:00:00,Uber Black,Uber Pay,5,1.92,$10.3,Upper East Side South,1.0,8
453,2024-06-01 00:00:00,UberX,Uber Pay,1,1.4,$10.7,Lenox Hill West,1.0,8
454,2024-06-01 00:00:00,Uber Comfort,Uber Pay,5,1.28,$8.3,UN/Turtle Bay South,1.0,8
455,2024-06-01 00:00:00,UberX,Uber Pay,5,4.3,$23.1,Upper West Side North,1.0,8
456,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.4,$12.7,Yorkville West,1.0,8
457,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.97,$27.2,Washington Heights South,1.0,8
459,2024-06-01 00:00:00,UberX,Uber Pay,1,1.3,$7.0,Garment District,1.0,8
461,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.83,$14.0,Lenox Hill East,1.0,8
463,2024-06-01 00:00:00,UberX,Uber Pay,1,1.49,$9.5,Gramercy,1.0,8
464,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.77,$11.5,UN/Turtle Bay South,1.0,8
